filename,width,height,class,xmin,ymin,xmax,ymax
PXL_20231129_073525535_jpg.rf.40a77ddefa45ab1196de972ae05e1598.jpg,640,640,overcooked beef,44,309,206,511
PXL_20231129_073525535_jpg.rf.40a77ddefa45ab1196de972ae05e1598.jpg,640,640,overcooked beef,207,388,412,570
PXL_20231031_033915060_jpg.rf.420d5d704de968851c8818e686079656.jpg,640,640,NG raw beef,187,247,465,426
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,NG raw beef,80,221,148,328
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,NG raw beef,76,354,172,465
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,NG raw beef,186,403,245,505
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,NG raw beef,285,367,387,464
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,NG raw beef,184,270,256,372
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,NG raw beef,252,201,324,271
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,OK cooked beef,115,148,176,216
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,OK cooked beef,184,135,250,215
PXL_20231008_095026481_jpg.rf.46b749a9c08e4f589531d7b81432d6e5.jpg,640,640,OK cooked beef,313,241,361,340
PXL_20231206_145641341_jpg.rf.45eafe0dbe07d264fb4cdd0dddc9c23d.jpg,640,640,OK cooked beef,183,136,490,334
PXL_20231206_145641341_jpg.rf.45eafe0dbe07d264fb4cdd0dddc9c23d.jpg,640,640,OK cooked beef,144,404,479,617
PXL_20231205_050642772_jpg.rf.46fc54b67db2fe65ca056de523421520.jpg,640,640,NG undercooked beef,163,170,359,446
PXL_20231205_050642772_jpg.rf.46fc54b67db2fe65ca056de523421520.jpg,640,640,NG undercooked beef,321,345,518,491
PXL_20231031_034757678_jpg.rf.46937fb1f5130c0126a66c25859c3edf.jpg,640,640,OK undercooked beef,117,209,519,565
PXL_20231205_051143470_jpg.rf.476b1eba3e64678d1409d08af6397848.jpg,640,640,NG undercooked beef,12,376,193,584
PXL_20231205_051143470_jpg.rf.476b1eba3e64678d1409d08af6397848.jpg,640,640,NG undercooked beef,169,448,421,626
PXL_20231205_051143470_jpg.rf.476b1eba3e64678d1409d08af6397848.jpg,640,640,NG undercooked beef,372,353,623,556
PXL_20231205_051143470_jpg.rf.476b1eba3e64678d1409d08af6397848.jpg,640,640,NG undercooked beef,233,217,472,374
PXL_20231031_040210072_jpg.rf.41e12a5e382428aad66739238fd0c8b6.jpg,640,640,NG raw beef,0,102,640,640
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,0,286,66,352
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,0,289,135,421
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,0,288,164,487
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,23,310,230,504
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,150,327,324,515
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,265,343,465,516
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,74,140,318,253
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,153,151,382,280
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,275,163,449,269
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,310,174,559,293
PXL_20231008_093130279_jpg.rf.44d0e80719d68f682268be654c2c0524.jpg,640,640,NG raw beef,429,201,640,310
PXL_20231031_034423508_jpg.rf.47af4cb9828008ae17e6afb1cb3a55e3.jpg,640,640,OK cooked beef,0,10,274,640
PXL_20231206_145641341_jpg.rf.4187eba7141d27caea62f3c7c7b076ff.jpg,640,640,OK cooked beef,183,136,490,334
PXL_20231206_145641341_jpg.rf.4187eba7141d27caea62f3c7c7b076ff.jpg,640,640,OK cooked beef,144,404,479,617
PXL_20231129_073242188_jpg.rf.48b02e16f24924e15d165e171c9cfc26.jpg,640,640,overcooked beef,164,58,314,237
PXL_20231129_073242188_jpg.rf.48b02e16f24924e15d165e171c9cfc26.jpg,640,640,overcooked beef,349,55,466,298
PXL_20231031_035029669_jpg.rf.47a03fc1bacae685cf18a919f25ea0ba.jpg,640,640,OK undercooked beef,37,311,496,558
PXL_20231031_040324956_jpg.rf.43c1da100e469e8a9265c256a0a061cc.jpg,640,640,NG undercooked beef,142,88,629,449
PXL_20231031_035243327_jpg.rf.4a41d54a8de45507e6ecd753bfe0c463.jpg,640,640,NG raw beef,186,209,624,590
PXL_20231031_035418107_jpg.rf.49c1fe1cb997d19a56b5a5ff2255fd0d.jpg,640,640,OK cooked beef,222,217,590,515
PXL_20231031_033950687_jpg.rf.487e5a5a97110504734daaa09d15fac9.jpg,640,640,NG undercooked beef,264,270,512,479
PXL_20231205_051125654_jpg.rf.49676d1d0847861aa667e04bf1356461.jpg,640,640,NG undercooked beef,33,262,207,457
PXL_20231205_051125654_jpg.rf.49676d1d0847861aa667e04bf1356461.jpg,640,640,NG undercooked beef,304,214,480,352
PXL_20231205_051125654_jpg.rf.49676d1d0847861aa667e04bf1356461.jpg,640,640,NG undercooked beef,67,471,371,640
PXL_20231205_051125654_jpg.rf.49676d1d0847861aa667e04bf1356461.jpg,640,640,NG undercooked beef,366,355,633,582
japanese-black-beef-lean-ribs-260nw-2070769931_jpg.rf.4a8197ec2465d74b75648162ce80efa3.jpg,640,640,NG raw beef,115,248,376,503
japanese-black-beef-lean-ribs-260nw-2070769931_jpg.rf.4a8197ec2465d74b75648162ce80efa3.jpg,640,640,NG raw beef,88,172,261,294
japanese-black-beef-lean-ribs-260nw-2070769931_jpg.rf.4a8197ec2465d74b75648162ce80efa3.jpg,640,640,NG raw beef,157,132,335,245
japanese-black-beef-lean-ribs-260nw-2070769931_jpg.rf.4a8197ec2465d74b75648162ce80efa3.jpg,640,640,NG raw beef,235,218,468,466
japanese-black-beef-lean-ribs-260nw-2070769931_jpg.rf.4a8197ec2465d74b75648162ce80efa3.jpg,640,640,NG raw beef,310,154,558,416
PXL_20231031_035614087-MP_jpg.rf.4a7b5e515a941f54956cd1222da0436d.jpg,640,640,NG raw beef,120,217,547,572
PXL_20231031_035614087-MP_jpg.rf.4a7b5e515a941f54956cd1222da0436d.jpg,640,640,NG raw beef,560,382,640,590
PXL_20231031_040300139_jpg.rf.4101c6b01920c3232550aabbb26dc753.jpg,640,640,NG raw beef,135,204,597,625
PXL_20231031_035421334_jpg.rf.4b4098c9bb94bb1a9ab14f54ce54f854.jpg,640,640,OK cooked beef,162,251,573,585
PXL_20231031_033921644_jpg.rf.4b823fc194c75a8deccc56a514d4d3f8.jpg,640,640,NG undercooked beef,206,277,478,473
PXL_20231031_035010716_jpg.rf.41d2dff9dbac2bebb94888e14938d934.jpg,640,640,NG raw beef,0,362,134,525
PXL_20231031_035010716_jpg.rf.41d2dff9dbac2bebb94888e14938d934.jpg,640,640,NG raw beef,0,92,452,419
PXL_20231031_035010716_jpg.rf.41d2dff9dbac2bebb94888e14938d934.jpg,640,640,NG raw beef,237,244,569,430
PXL_20231031_035249380_jpg.rf.4ae7693192cf0ce480f3f1e3a97397ce.jpg,640,640,NG raw beef,151,225,531,413
PXL_20231031_034127936_jpg.rf.44804f24d3e666f62b10cef9c4509c51.jpg,640,640,OK cooked beef,144,250,364,344
PXL_20231031_034614037_jpg.rf.4bc0ea375be639c693a2e22f4cfe6103.jpg,640,640,NG raw beef,222,90,563,267
